제목,기관,키워드,본문
"로지텍, 패션 브랜드 '빅웨이브 컬렉티브'와 브랜드 콜라보 진행","로지텍,SSF샵,로지텍 X","로지텍,패션,브랜드,빅웨이브,컬렉티브,진행,브랜드,콜라보,로지텍,패션,브랜드,빅웨이브,컬렉티브,SSF샵,브랜드,콜라보,진행,14일,브랜드,콜라보,여름철,워케이션,컨셉,여행지,업무,진행,여유,휴식,마련,콜라보,일환,이달,홈페이지,SSF,온라인,시그니처,사무,무선,기계식,키보드,키캡,빅웨이브,콜라보,구성,로지텍,판매,패키지,브랜드,콜라보,제주도,위치,워케이션,공간,오피스,제주,사계점,조정훈,로지텍,코리아,지사장,트렌드,선도,빅웨이브,컬렉티브,콜라보,진행","로지텍은 패션 브랜드 '빅웨이브 컬렉티브'와 SSF샵에서 브랜드 콜라보를 진행한다고 14일 밝혔다.

이번 브랜드 콜라보는 여름철 워케이션을 컨셉으로 삼았다. 여행지에서 업무를 진행하고, 여유롭게 휴식도 취하고 싶은 이들을 위해 마련됐다.

콜라보의 일환으로 이달 27일까지 SSF샵 온라인 홈페이지에서 '시그니처 K855' 사무용 무선 기계식 키보드와 .."
"컴퓨존, 네오위즈와 `P의 거짓 콜라보 PC` 출시","네오위즈,마켓플레이스,컴퓨존,PC,유니크,AMD,잘만테크","컴퓨존,네오위즈,PC,거짓,콜라보,출시,컴퓨존,PC,마켓플레이스,네오위즈,최신작,거짓,콜라보,상품,AMD,컬러풀,잘만테크,다수,브랜드,협업,안정,확보,업그레이드,PC,디럭스,게임,패드,한정판,굿즈,사은품,증정,디지털,라이프,스타일,쇼핑,플랫폼,지향,컴퓨터,컴퓨존,전자,제품,전문,쇼핑,플랫폼,대표이사,노인호,네오위즈,게임,개발사,공동,대표,김승철,배태근,최신작,거짓,콜라보,조립,PC,PC,거짓,콜라보,한정,수량,판매,18일,거짓,출시,글로벌,100만,누적,판매량,돌파,정도,인기,PC,콘솔,신작,게임,조립,PC,거짓,사례,IP,콜라보,PC,거짓,콜라보,컴퓨존,네오위즈,사간,마케팅,협업,바탕,제작,상품,조립,PC,거짓,로고,캐릭터,이미지,부착,한정판,케이스,활용,팬심,자극,유니크,외형,거짓,프로세서,AMD,라이젠,라데온,그래픽,카드,최적화,우수,게이밍,퍼포먼스,발휘,AMD,라이젠,7800X3D,프로세서,파워컬러,레드데빌,Radeon,RX7800XT,레드,데빌,그래픽카드,검증,부품들,채택,고객들,최상,게이밍,환경,경험,구성,PC,거짓,콜라보,출시,구매자들,이벤트,진행,상품,콜라보,PC,구매,고객들,거짓,PC,디럭스,업그레이드,XBOX,게임,패드,사은품,지급,PC,구매,고객들,추첨,21명,한정판,굿즈,티셔츠,지급,예정,컴퓨존,관계자,네오위즈,구성,판매,PC,콜라보,조립,거짓,유명,IP,제휴,상품,구성,영광,컴퓨존,브랜드,제휴,구성,조립,PC,지속적,구성","디지털 라이프스타일 쇼핑 플랫폼을 지향하는 컴퓨터, 전자제품 전문 쇼핑 플랫폼 컴퓨존(대표이사 노인호)이 게임 개발사 네오위즈(공동 대표 김승철, 배태근)의 최신작 'P의 거짓'과 콜라보한 조립 PC인 'P의 거짓 콜라보 PC'를 50대 한정 수량 판매한다고 18일 밝혔다.



'P의 거짓'은 지난 9월 글로벌 출시 후 한달 만에 누적 판매량 100만.."
"DGB금융, 캐릭터 단똑우와 인스타툰 작가 콜라보","DGB금융그룹,DGB금융","DGB금융,캐릭터,단똑우,콜라보,인스타툰,작가,DGB금융그룹,캐릭터,그룹,대표,단똑우,단디,똑디,우디,인스타툰,작가,콜라보,콘텐츠,제작,콜라보,콘텐츠,인스타툰,캐릭터,단똑우,일상생활,에피소드,일상생활,스토리,3회,업로드,계정,작가,인스타그램,DGB,금융,그룹,공식,계정,선넘,단똑우,업로드,공개,콘텐츠,강아지,고양이,캐릭터,몽냥툰,작가,협업,2회,27일,쿼카,병아리,캐릭터,개니,마찌,작가,콜라보,콘텐츠,3회,10월,뱁새,캐릭터,김뱁새,작가,협업,DGB금융그룹,제작,인스타툰,콘텐츠,기념,이벤트,진행,선넘,계정,팔로우,게시글,웹툰,콘텐츠,감상,참여완료,댓글,추첨,경품,증정","DGB금융그룹은 그룹 대표 캐릭터인 단똑우(단디 똑디 우디)와 인스타툰 작가의 콜라보 콘텐츠를 제작했다. 
 
 
 
이번 콜라보 콘텐츠는 인스타툰 캐릭터와 단똑우의 일상생활 속 에피소드를 다루는 스토리로 3회에 나눠 업로드된다. 작가 인스타그램 계정과 DGB금융그룹 공식 계정 ‘선넘는 단똑우’에 업로드된다. 
 
앞서 공개한 1회차 콘텐츠는 강아지 고.."
"쿼시, 카멜커피와 콜라보 진행 한정 패키지 출시","F&B,쿼시X카멜커피,카멜커피","쿼시,카멜커피,출시,콜라보,진행,한정,패키지,쿼시,Quash,한국,카페,브랜드,이름,카멜커피,콜라보,진행,쿼시,카멜커피,전개,청소&위생,F&B,카테고리,프로젝트,고객들,즐거움,브랜드,공통점,발견,콜라보,진행,콜라보,제품,롤티슈,쿼시,세정,카멜,커피,특유,클래식,빈티지,감성,특별,패키지,디자인,제품,쿼시,카멜,커피,콜라보,디자,2종,한정,판매,진행,브랜드,콜라보,제품,홈페이지,쿼시,공식,구매,가능,카멜,커피,매장,비치,확인,인스타그램,쿼시,공식,콜라보,콘텐츠,확인","쿼시(Quash)는 ‘한국에서 가장 핫한 카페 브랜드’로 이름을 높이고 있는 “카멜커피” 와 콜라보를 진행한다고 밝혔다. 
 
 쿼시와 카멜커피는 전개하고 있는 각각의 청소&위생과 F&B라는 카테고리를 넘어 다양한 프로젝트를 선보여 고객들에게 즐거움을 주는 브랜드라는 공통점을 발견해 이번 콜라보를 진행하게 됐다고 한다. 
 
 콜라보 제품은 쿼시 세정 .."
모리셔스브라운-지노베타케어 이색 콜라보 진행 중,"모리셔스브라운,한국먼디파마,네이버,모시셔스브라운","모리셔스브라운,지노베타케어,진행,이색,콜라보,석촌호수점,모리셔스브라운,방송,콜라보,기념,네이버,라이브,프리미엄,밀크티,브랜드,모리셔스브라운,한국먼디파마,여성,청결제,지노베타케어,건강,주제,이너뷰티,헬시플레저,해시태그,콜라보,이벤트,진행,12일,이달,진행,콜라보,이벤트,기간,모리셔스브라운,밀크티,구매,인스타그램,포스팅,이너뷰티,헬시플레저,모시셔스브라운,지노베타케어,필수,해시태그,포함,음료,사진,업로드,한국먼디파마,출시,여성,청결제,지노베타케어,1종,매장,지난달,지노베타케어,모이스처라이저,런칭,카렌듈라,기념,방송,네이버,라이브,모리셔스브라운,인천,청라점,현장,콜라보,방송,진행,시청자들,관심,이달,11시,콜라보,기념,모리셔스브라운,석촌호수점,지노베타케어,고객,감사,네이버,라이브,방송,진행,예정,대표이사,박종원,모리셔스브라운,대표,이사,모리셔스브라운,지노베타케어,이벤트,분들,참여,진심,감사,콜라보,이벤트,기간,진행,이벤트,분들,건강,즐거움,경험,제공,모리셔스브라운,칼슘,마그네슘,영양성분,비정제원당,우유,사용,소비자,건강,밀크티,제공,한국먼디파마,1998년,대한민국,진출,다국적,제약,회사,메디폼,베타딘,브랜드,여성,건강,일반의약품,질염,치료제,지노베타딘,화장품,카테고리,여성,청결제,지노베타케어,라인업,보유","프리미엄 밀크티 브랜드 모리셔스브라운은 한국먼디파마의 여성청결제 ‘지노베타케어’와 함께 건강을 주제로 한 이너뷰티, 헬시플레저 해시태그 콜라보 이벤트를 진행하고 있다고 12일 밝혔다. 
 
이달 24일까지 진행되는 이번 콜라보는 이벤트 기간동안 모리셔스브라운 밀크티를 구매하고 인스타그램 포스팅에 이너뷰티, 헬시플레저, 모시셔스브라운, 지노베타케어 필수 .."
"반올림피자, 모바일 게임 '고양이와 스프'와 콜라보 프로모션 진행","반올림피자,네오위즈,반올림","반올림피자,고양이,모바일,게임,스프,진행,콜라보,프로모션,반올림피자,힐링,모바일,게임,고양이,스프,협업,프로모션,진행,18일,고양이,스프,네오위즈,서비스,게임,힐링,방치,고양이들,스프,주스,볶음,음식,휴식,구경,고양이,일러스트,움직,인기,4800만,누적,다운로드,기록,반올림피자,고양이,스프,콜라보,기념,스페셜,메뉴,고양이,피자,스프,스페셜,반올림고구마피자,콤비네이션피자,치즈링,구성,고양이,반반,피자,1종,스페셜,쿠폰,제공,고양이,세트,스프,스페셜,반올림고구마피자,콤비네이션,피자,치즈링,구성,고양이,반반,피자,치즈오븐스파게티,음료,1종,스페셜,쿠폰,구성,스페셜,쿠폰,콜라보,메뉴,주문,고양이,스프,게임,아이템,반올림,피자,코스튬,보석,메뉴,주문,풍선,보석,일반,쿠폰,제공,반올림,피자,자사,콜라보,메뉴,구매,별마카롱,보석,앱스페셜,쿠폰,반올림피자,주문,고양이,패키지,스프,콜라보,반올림피자,콜라보,프로모션,17일,진행,반올림피자,콜라보,기념,배달,민족,반올림피자,주문,이날,5000원,일주일간,최대,할인,반올림,피자,관계자,고양이,스프,콜라보,요리,힐링,키워드,반올림피자,지향,가치,기획,콜라보,프로모션,반올림피자,힐링","반올림피자는 힐링 모바일 게임 '고양이와 스프'와 협업 프로모션을 진행한다고 18일 밝혔다.

'고양이와 스프'는 네오위즈가 서비스하는 힐링 방치형 게임으로 고양이들이 스프나 주스, 볶음 등 여러 음식을 만들거나 휴식을 취하는 것을 구경할 수 있다. 고양이의 일러스트와 움직임이 귀여워 큰 인기를 얻으며 누적 다운로드 4800만 을 기록했다.

반올림피자.."
"이디야커피 산리오캐릭터들과 두번째 만남, 시즌2 신제품 출시 및 프로모션 진행","이디야멤,이디야커피,산리오캐릭터즈,헬로키티 아이스콘 초코,이디야","이디야커피,산리오,캐릭터,번째,출시,시즌,프로모션,진행,산리오캐릭터즈,협업,음료,스낵,굿즈,출시,기프트,카드,이디야커피,산리오코리아,글로벌,캐릭터,기업,산리오캐릭터즈,협업,신제품,출시,콜라보,6월,호응,이디야,커피,산리오캐릭터즈,시즌,번째,산리오캐릭터즈,활용,음료,스낵,MD,기프트카드,콜라보,상품,콜라보,음료,초콜릿,쿠로미,데블,폼폼푸린,골든,슈크림,라떼,2종,산리오캐릭터즈,컬러감,특징,초콜릿,쿠로미,데블,다크초콜릿,베리,휘핑크림,소스,퍼플,초코,스프링클,폼폼푸린,골든,슈크림,라떼,커스터드,카라멜향,조화,라떼,크림,코코아파우더,강조,에스프레소,추가,원두,콜라보,음료,초코,헬로키티,아이스콘,오븐,초콜릿,스낵,디자,콜라보,기간,헬로키티,패키지,계절감,굿즈,패브릭,달력,재질,달력,부착,인테리어,소품,활용,제작,시나모롤,머그,고급,질감,도자기,소재,제품,전면,시나모롤,캐릭터,윈터,블랭킷,촉감,담요,스냅,단추,실용적,활용,가능,산리오캐릭터즈,디자인,기프트카드,2종,충전형,기프트카드,매장,전국,이디야,커피,이디야멤버스,지속,사용,가능,이디야커피,콜라보,기념,산리오캐릭터즈,활용,굿즈,메뉴,교환,증정,오프라인,프로모션,진행,2일,매장,전국,이디야커피,구매,콜라보,음료,구매,음료,1장,캐릭터,부적,제공,산리오캐릭터즈,기프트카드,구매,고객,랜덤,핀버튼,증정,이디야멤버스,2일,8일,일주일간,참여,가능,룰렛,이벤트,패브릭,달력,시나모롤,머그,윈터,블랭킷,굿즈,할인쿠폰,콜라보,음료,랜덤,증정,15일,3주,콜라보,음료,경품,응모,고객,당첨,산리오캐릭터즈,굿즈,기회,제공,홈페이지,이디야커피,공식,2일,22일,2종,콜라보,음료,구매,적립,고객,100명,추첨,굿즈,세트,증정,2일,12일,매장,전국,이디야,커피,비치,산리오캐릭터즈,포토,프레임,인증샷,고객,추첨,굿즈,제공,이외,요즘,디지털,세대,특성,온라인굿즈,이디야커피,홈페이지,드로잉,이디야,전용,산리오캐릭터즈,휴대폰,워치,태블릿,배경,화면,무료,다운","이디야커피가 2일 글로벌 캐릭터 기업 산리오코리아의 '산리오캐릭터즈'와 협업한 다양한 신제품을 출시한다. 
 
 이번 콜라보는 지난 6월 뜨거운 호응을 얻었던 이디야커피X산리오캐릭터즈 시즌 1에 이은 두 번째 협업이다. 산리오캐릭터즈를 활용한 음료와 스낵, MD, 기프트카드 등 다양한 콜라보 상품을 선보인다. 
 
 이번 콜라보를 통해 새롭게 선보이는 .."
"대구FC, 스트릿 편집샵 이플릭(EPLC)과 콜라보 ‘대구 티셔츠’ 출시","대구FC,DGB대구은행,대구","대구FC,이플릭,스트릿,편집샵,EPLC,티셔츠,콜라보,대구,출시,프로,축구,대구,FC,이플릭,대구,스트릿,편집샵,EPLC,콜라보,대구,티셔츠,정식,출시,대구FC,이플릭,콜라보,대구,티셔츠,2019년,팬들,의견,반영,콜라보,제품,어린이,사이즈,아동,티셔츠,추가,대구,티셔츠,대구FC,컬러,하늘색,창단,연도,2002년,활용,심플,디자인,경기장,직관,일상,캐주얼,소화,특징,출시,대구,티셔츠,기념,화보,가족,모델,선수,대구,FC,이용래,이용래,선수,아들,이로한군,참여,대구,출신,래퍼,조원우,대학생,댄서,프리랜서,모델,아역,모델,참여,의미,대구,티셔츠,26일,4시,대구,FC,팀스토어,스토어,이플릭,온오프라인,중구,교동,구매,가능,잔여,수량,28일,1시,대구,FC,온라인,스토어,판매,대구,26일,제주,K리그,라운드,경기,제주전,홈경기,4시간,일반,티켓,예매,오픈,19일,6시,원정석,제외,전석,응원석,매진,대구,이날,대구,티셔츠,모델,활약,이용래,선수,테마,이용래,데이,DGB대구은행,SAVE,데이,행사,진행,예정,행사,정보,홈페이지,대구,FC,공식,확인,가능","프로축구 대구FC가 오는 26일 대구 스트릿 편집샵 이플릭(EPLC)과 콜라보한 ‘대구 티셔츠’를 정식 출시한다. 
 
대구FC와 이플릭의 대구 티셔츠 콜라보는 지난 2019년에 이어 이번이 두 번째다. 최근 팬들의 의견을 반영해 이번 콜라보 제품에는 어린이 팬들을 위한 아동용 티셔츠 사이즈(M, L)가 추가됐다. 
 
이번 대구 티셔츠는 대구FC의 팀.."
이디야커피X산리오캐릭터즈 시즌 2 신제품 출시 기념 프로모션,"헬로키티,이디야멤,이디야커피,산리오캐릭터즈,이디야","이디야,커피,산리오캐릭터즈,시즌,프로모션,출시,기념,이디야커피,산리오코리아,글로벌,캐릭터,기업,산리오캐릭터즈,협업,신제품,출시,콜라보,6월,호응,이디야,커피,산리오캐릭터즈,시즌,번째,산리오캐릭터즈,활용,음료,스낵,MD,기프트카드,콜라보,상품,콜라보,음료,초콜릿,쿠로미,데블,폼폼,라떼,골든,슈크림,2종,산리오캐릭터즈,컬러감,특징,초콜릿,쿠로미,데블,다크초콜릿,베리,휘핑크림,소스,퍼플,초코,스프링클,폼폼푸린,골든,슈크림,라떼,커스터드,카라멜향,조화,라떼,크림,코코아파우더,강조,에스프레소,추가,원두,콜라보,음료,초코,헬로키티,아이스콘,오븐,초콜릿,스낵,디자,콜라보,기간,헬로키티,패키지,계절감,굿즈,패브릭,달력,재질,달력,부착,인테리어,소품,활용,제작,시나모롤,머그,고급,질감,도자기,소재,제품,전면,시나모롤,캐릭터,윈터,블랭킷,촉감,담요,스냅,단추,실용적,활용,가능,산리오캐릭터즈,디자인,기프트카드,2종,충전형,기프트카드,매장,전국,이디야,커피,이디야멤버스,지속,사용,가능,이디야커피,콜라보,기념,산리오캐릭터즈,활용,굿즈,메뉴,교환,증정,오프라인,프로모션,진행,2일,매장,전국,이디야커피,구매,콜라보,음료,구매,음료,1장,캐릭터,부적,제공,산리오캐릭터즈,기프트카드,구매,고객,랜덤,핀버튼,증정,이디야멤버스,2일,8일,일주일간,참여,가능,룰렛,이벤트,패브릭,달력,시나모롤,머그,윈터,블랭킷,굿즈,할인쿠폰,콜라보,음료,랜덤,증정,15일,3주,콜라보,음료,경품,응모,고객,당첨,산리오캐릭터즈,굿즈,기회,제공,홈페이지,이디야커피,공식,2일,22일,2종,콜라보,음료,구매,적립,고객,100명,추첨,굿즈,세트,증정,2일,12일,매장,전국,이디야,커피,비치,산리오캐릭터즈,포토,프레임,인증샷,고객,추첨,굿즈,제공,이외,요즘,디지털,세대,특성,온라인굿즈,이디야커피,홈페이지,드로잉,이디야,전용,산리오캐릭터즈,휴대폰,워치,태블릿,배경,화면,무료,다운,이디야,커피,관계자,지난여름,진행,콜라보,고객들,호응,산리오캐릭터즈,번째,진행,매장,전국,이디야,커피,콜라보,제품,경품,당첨,행운","이디야커피가 오는 2일 글로벌 캐릭터 기업 산리오코리아의 ‘산리오캐릭터즈’와 협업한 다양한 신제품을 출시한다. 
 
 이번 콜라보는 지난 6월 뜨거운 호응을 얻었던 이디야커피X산리오캐릭터즈 시즌 1에 이은 두 번째 협업으로 산리오캐릭터즈를 활용한 음료와 스낵, MD, 기프트카드 등 다양한 콜라보 상품을 선보인다. 
 
 이번 콜라보를 통해 새롭게 선보이.."
"펄어비스, 검은사막X왕뚜껑 콜라보 '왕뚜껑은사막' 출시","검은사막,펄어비스,이마트24,왕뚜껑은사막","펄어비스,검은,사막,왕뚜껑,콜라보,왕뚜껑,사막,출시,동봉,사막,쿠폰,왕뚜껑,콜라보,제품,한정,판매,펄어비스,사막,자사,게임,팔도,상품,왕뚜껑,콜라보,왕뚜껑,사막,15일,왕뚜껑,사막,왕뚜껑,제품,사막,디자,패키징,적용,콜라보,상품,편의점,대형,마트,채널,온오프라인,유통,한정,수량,판매,오리지널,김치,짬뽕,왕뚜껑,사막,구매,사막,왕뚜껑,제휴,상자,쿠폰,제휴,상자,크론석,사막,이용자들,샴푸,속옷,녹용,제품,이색,콜라보,진행,5월,이마트24,콜라보,사막걸리,출시","[머니투데이 배한님 기자] 검은사막 쿠폰 동봉된 왕뚜껑 콜라보 제품 1000만개 한정 판매

 
펄어비스는 자사 게임 검은사막과 팔도의 컵라면 왕뚜껑 콜라보 상품인 '왕뚜껑은사막'을 선보인다고 15일 밝혔다. 

왕뚜껑은사막은 왕뚜껑 제품에 검은사막 디자인 패키징을 적용한 콜라보 상품이다. 편의점 대형마트 등 온오프라인 유통 채널에서 약 두 달간 100.."
"대림바스, 이나피스퀘어와 일러스트 더한 콜라보 제품 선보여",대림몰,"대림바스,이나피스퀘어,일러스트,콜라보,제품,일체형비데,분리형비,디자,출시,대림바스,이나피스퀘어,크리에이티브,스튜디오,위트,일러스트,콜라보,제품,5일,ONES,것들,슬로건,협업,대림바스,이나피스퀘어,특유,모노톤,드로잉,가미,감각적,욕실,오브,탄생,블랙,화이트,활용,대림바스,상징,캐릭터,작가,재치,표현,일러스트,제품,장식,고객,경험,선사,계획,콜라보,제품,대림바스,일체,형비데,DST-,911ART,분리형,비데,DDS-S,1500ART,2종,디자인,구성,6일,한정,수량,대림몰,무브먼트랩,리빙,스타일,큐레이션,편집샵,온라인몰,판매,29일,서울,용산구,위치,무브먼트랩,한남,대림바스,이나피스퀘어,콜라보,제품,구성,연출,운영,디스플레이,존도,예정,방문객,전시,공간,콜라보,제품,분리형비데,디자,디자인,증정,이벤트,포토존,인증,진행,김혜진,대림바스,마케팅,팀장,대림바스,심플,비데,디자인,이나피스퀘어,위트,모노톤,드로잉,매치,고객들,경험,선사,콜라보,진행,활동,기점,지속적,브랜드,콜라보,브랜드,진행,대림바스,트렌디,이미지,전달,예정","대림바스가 크리에이티브 스튜디오 이나피스퀘어와 손잡고 위트있는 일러스트가 더해진 콜라보 제품을 선보인다고 5일 밝혔다. 
 

 ‘ONLY THE ONES WE LIKE(우리가 좋아하는 것들만)’를 슬로건으로 하는 이번 협업을 통해 대림바스는 이나피스퀘어 특유의 모노톤 드로잉을 가미한 감각적인 욕실 오브제를 탄생시켰다. 블랙과 화이트 색을 활용해 대림바.."
"100주년 맞아 스타벅스와 만난 디즈니, 2차 콜라보 분위기는?","디즈니,오르골,현대백화점,디즈니컴퍼니코리아,스타벅스,스타벅스커피코리아","100주년,스타벅스,디즈니,분위기,콜라보,MD,기획상품,디즈니,화제,디즈니,주년,4월,판교,현대백화점,개점,디즈니,스토어,6개월,구름,인파,100주년,기념,디즈니,스타벅스커피코리아,스타벅스,협업,미키마우스,모양,티라,미수,케이크,미키마우스,딜라이트,콜드브루,인기,이벤트,결정,스타벅스,디즈니컴퍼니코리아,콜라보,음료,상품,출시,소비자,반응,상품,구성,다양화,증정,이벤트,주목도,콜라보,호응,토대,결정,협업,5일,제품,출시,상품,구성,다양화,한국,제품,매출,증가,예상,방문,이날,정오,수원시내,스타벅스,매장,오르골,진열,디즈니,MD,소비자들,오르골,스타벅스,디즈니,상품,협업,100주년,디즈니,디즈니,스토어,행보,콜라보,호평,스타벅스,번째,진행,스타벅스,상품,디즈니,콜라보,출시,디즈니,스타벅스,상품,협업,한국,판매,텀블러,머그잔,스타벅스,MD,차별화,상품,미키,미니마우스,피규어,오르골,미키마우스,모양,커트러리,세트,주방장갑,디즈니,캐릭터,활용,키링,텀블러,워터보틀,상품,포함,상품,구성,호응,가격,의견,일례,미키마우스,워터,보틀,판매,가격,3만,동일,용량,스타벅스,출시,워터보틀,서머,플라워,워터,보틀,1만,차이,매장,디즈니,캐릭터,MD,소비자,일반,MD,구성,뚜껑,캐릭터,피규어,보틀,미키,정도,가격,콜라보,디즈니,상품,디즈니,음료,포함,5만,구매,포스터,디즈니,패브릭,무료,증정,행사,대기줄,출시,당일,발생,콜라보,비교,관심도,수원시내,스타벅스,파트너,증정품,수령,소비자,설명,스타벅스,콜라보,상품,구성,다양화,만큼,매출,전망,스타벅스,관계자,제품,콜라보,한국,판매,제품,콜라보,제품,출시일,이날,온라인,스토어,고객,발생,정도,상품,판매량,집계,매출,20%,확인","""이번 MD(기획상품)는 잘 뽑은 것 같아요."" 
 
디즈니는 늘 화제를 모은다. 디즈니 100주년을 맞아 지난 4월 국내 처음으로 판교 현대백화점에 개점한 디즈니 스토어엔 6개월이 다 돼가는 지금까지 구름 인파가 몰린다. 
 
마찬가지로 100주년을 기념해 디즈니는 이번엔 스타벅스커피코리아(이하 스타벅스)와 협업했다. 미키마우스 모양의 티라미수 케이크.."
"부산국제영화제 CGV 씨네샵, 콜라보 굿즈 출시","일정부,씨네샵,CGV","부산국제영화제,CGV,씨네,출시,콜라보,굿즈,부산국제영화제,부산,국제,영화제,CGV,콜라보,굿즈,제공,CGV,부산,국제,영화제,씨네,영화,굿즈,스토어,CGV,콜라보,굿즈,출시,4일,콜라보,굿즈,부산,국제,영화제,개막,영화제,일정,준비물,파워,시네필,파워,세트,부산,국제,영화제,준비,구성,티켓,홀더,가방,인형,키링,러기지,스티커,상품,구성,굿즈,세트,영화,소장,욕구,충족,상품,티켓,홀더,가방,CGV,폐스크린,업사이클링,상품,눈길,사용,연한,폐자원,활용,가치,일상,생활,유용,사용,재탄생,콜라보,굿즈,온라인,한정,수량,판매,예정,부산,국제,영화제,13일,영화의전당,일대,열흘간,개최","부산국제영화제 X CGV 씨네샵 콜라보 굿즈. CGV 씨네샵 제공 
[파이낸셜뉴스] 제28회 부산국제영화제가 영화 굿즈 스토어 CGV 씨네샵과 콜라보 굿즈를 출시한다고 4일 밝혔다. 
 
이번 콜라보 굿즈는 부산국제영화제 개막을 앞두고 영화제를 찾기 위해 일정부터 준비물까지 꼼꼼하게 챙기는 ‘파워 J 시네필을 위한 부산국제영화제 준비 세트’로 구성됐다..."
두 기타리스트의 콜라보 무대,제주아트센터,"기타리스트,콜라보,무대,클래식,집시,기타리스트,콜라보,무대,제주아트센터,7시,기타즈,박규희,박주원,공연,개최,12일,클래식,기타리스트,박규희,정확,기교,표현력,연주자,각광,박주원,집시,기타리스트,핑거링,재즈,감수성,한국,열풍,집시,기타,뮤지션,티켓,13일,2시,제주아트센터,홈페이지,예매","클래식과 집시 기타리스트의 콜라보 무대가 펼쳐진다.
제주아트센터는 다음달 2일 오후 7시30분 '투 기타즈: 박규희×박주원' 공연을 개최한다고 12일 밝혔다.
클래식 기타리스트인 박규희는 정확한 기교와 섬세한 표현력을 갖춘 연주자로 각광받고 있다.
집시 기타리스트 박주원은 핑거링과 팝 재즈 록을 넘나드는 폭넓은 감수성으로한국에 집시 기타 열풍을 일으킨 .."
